Číslo,Jméno,Název 1,Název 2,Typ zdroje,Rok publikace,Rok sběru,Lok. - bod,Lok. - oblast,Bibliografie,Náš zdroj
44,"BACHMANNOVÁ, J., ed.",Jak to bylo dřív. Vyprávěnky z Podkrkonoší II.,,Kniha,2013,2013,,,"Liberec: Nakladatelství Bor, 2013. ISBN 978-80-87607-18-3.",Texty a slovníky
45,"BACHMANNOVÁ, J., ed.",Za života se stane ledacos. Vyprávěnky ze Železnobrodska.,,Kniha,2008,2008,,,"Liberec: Nakladatelství Bor, 2008. ISBN 978-80-86807-90-4.",Texty a slovníky
46,"BAIER, V.",Domažlicko.,,Rukopis,2010,2010,,Domažlicko,2010.,Excely
47,"BALHAR, J.",Březová OP.,,Excerpta,2010,2010,Březová OP,,2010.,Excely
48,"BALHAR, J.",Skladba lašských nářečí.,,Kniha,1974,1960,,,"Praha: Academia, 1974.",Texty a slovníky
49,"BALHAR, J.",Větná skladba lašských nářečí.,,Dizertační práce,1961,1960,,,"Brno, 1961.",Bara
50,"BALHAR, J. et al.",Český jazykový atlas. Dodatky.,,Přepis nahrávky,2011,1968,,,"Praha: Academia, 2011. ISBN 978-80-200-1967-7.",Audio; Texty a slovníky
51,"BÁNSKÝ, M.",Nymburk NB.,,Excerpta,1972,1972,Nymburk NB,,1972.,Bara
52,"BAREŠ, F.",Nádobí v staré domácnosti v Ml. Boleslavi.,Český lid,Článek v časopise,1900,1900,,,"Český lid. 1900, roč. 10, s. 21–26.",Bara
53,"BARTOŠ, F.",Dialektický slovník moravský.,,Kniha,1906,1906,,,"Praha: Nákladem České akademie císaře Františka Josefa pro vědy, slovesnost a umění, 1906.",Bara; Texty a slovníky
54,"BARTOŠ, F.",Dialektologie moravská I.,,Kniha,1886,1885,,,"Brno: Matice moravská, 1886.",Bara
55,"BARTOŠ, F.",Dialektologie moravská II.,,Kniha,1895,1885,,,"Brno: Matice moravská, 1895.",Bara
56,"BARTOŠ, F.",Pověry a zvyky lidu moravského při hospodářství.,Český lid,Článek v časopise,1892,1982,,,"Český lid. 1982, roč. 1, s. 15–21, 125–131, 228–232, 332–339.",Bara
57,"BARTOŠÍK, T.",Slovácké humoresky.,,Kniha,1932,1930,Nedakonice UH,,"2. vydání. Kroměříž: [b. n.], 1932.",Texty a slovníky
58,"BARUCH, J.",Ludé z poza Junákova. Čtyři valašské povědačky.,,Kniha,1934,1934,Valašské Meziříčí VS (Krásno nad Bečvou),,"Praha – Přerov: Jožka Baruch, 1934.",Texty a slovníky
59,"BARUCH, J.",Pod Junákovem. Všelijaké povjedačky.,,Kniha,1948,1948,Valašské Meziříčí VS (Krásno nad Bečvou),,"Valašské Meziříčí: Osvěta, 1948.",Texty a slovníky
60,"BAŤHA, J.",Lidové výrazy.,Naše řeč,Článek v časopise,1934,1892,Týnec nad Sázavou BN (Krusičany),,"Naše řeč. 1934, roč. 18, s. 121–123.",Texty a slovníky
61,"BĚLIČ, J.",Dolská nářečí na Moravě.,,Kniha,1954,1954,,,"Praha: Nakladatelství Československé akademie věd, 1954.",Texty a slovníky
62,"BĚLIČ, J.",Nástin české dialektologie.,,Kniha,1972,,,,"Praha: Státní pedagogické nakladatelství, 1972, s. 223–224, 228–230, 233–235, 238–239, 249–250, 253, 256, 260–261, 270, 274–276, 279–281, 283–284, 294, 298–300, 304–306, 316–317.",Excely; Texty a slovníky
