číslo,editace (co uvidíme při zadávání),prezentace,definice
492,Přerovsko,Přerovsko,Přerov
493,Přešticko,Přešticko,Přeštice
494,Příbramsko,Příbramsko,Příbram
495,Přibyslavsko,Přibyslavsko,Přibyslav
496,Přimdsko,Přimdsko,Přimda
497,Psársko,Psársko,Psáry
498,Pyšelsko,Pyšelsko,Pyšely
499,Radnicko,Radnicko,Radnice
500,Radomyšlsko,Radomyšlsko,Radomyšl
501,Radostínsko,Radostínsko,Radostín nad Oslavou
502,Rájecko-Jestřebsko,Rájecko-Jestřebsko,Rájec-Jestřebí
503,Rajhradsko,Rajhradsko,Rajhrad
504,Rakovnicko,Rakovnicko,Rakovník
505,Rapotínsko,Rapotínsko,Rapotín
506,Raspenavsko,Raspenavsko,Raspenava
507,Ratíškovicko,Ratíškovicko,Ratíškovice
508,Rohatecko,Rohatecko,Rohatec
509,Rokycansko,Rokycansko,Rokycany
510,Ronovsko,Ronovsko,Ronov nad Doubravou
511,Rosicko,Rosicko,Rosice
512,Rotavsko,Rotavsko,Rotava
513,Roudnicko,Roudnicko,Roudnice nad Labem
514,Rousínovsko,Rousínovsko,Rousínov
515,Roztocko,Roztocko,Roztoky
516,Rožďalovicko,Rožďalovicko,Rožďalovice
517,Rtyňsko,Rtyňsko,Rtyně v Podkrkonoší
518,Rudensko,Rudensko,Rudná
519,Rudolfovsko,Rudolfovsko,Rudolfov
520,Rumbursko,Rumbursko,Rumburk
521,Rychvaldsko,Rychvaldsko,Rychvald
522,Rýmařovsko,Rýmařovsko,Rýmařov
523,Řevnicko,Řevnicko,Řevnice
524,Říčansko,Říčansko,Říčany
525,Sadsko,Sadsko,Sadská
526,Sázavsko,Sázavsko,Sázava
527,Sečsko,Sečsko,Seč
528,Sedlčansko,Sedlčansko,Sedlčany
529,Sedlecko,Sedlecko,Sedlec-Prčice
530,Sedlicko,Sedlicko,Sedlice
531,Semilsko,Semilsko,Semily
532,Senomatsko,Senomatsko,Senomaty
533,Sepekovsko,Sepekovsko,Sepekov
534,Sezemicko,Sezemicko,Sezemice
535,Sezimoústecko,Sezimoústecko,Sezimovo Ústí
536,Skalensko,Skalensko,Skalná
537,Skutečsko,Skutečsko,Skuteč
538,Slánsko,Slánsko,Slaný
539,Slatiňansko,Slatiňansko,Slatiňany
540,Slavičínsko,Slavičínsko,Slavičín
541,Slavkovsko,Slavkovsko,Slavkov u Brna
542,Slavonicko,Slavonicko,Slavonice
543,Slušovicko,Slušovicko,Slušovice
544,Smečensko,Smečensko,Smečno
545,Smiřicko,Smiřicko,Smiřice
546,Smržovsko,Smržovsko,Smržovka
547,Soběslavsko,Soběslavsko,Soběslav
548,Sobotecko,Sobotecko,Sobotka
549,Sokolovsko,Sokolovsko,Sokolov
550,Solnicko,Solnicko,Solnice
551,Spálenopoříčsko,Spálenopoříčsko,Spálené Poříčí
552,Srubecko,Srubecko,Srubec
553,Staňkovsko,Staňkovsko,Staňkov
554,Starojičínsko,Starojičínsko,Starý Jičín
555,Staroplzenecko,Staroplzenecko,Starý Plzenec
556,Stařečsko,Stařečsko,Stařeč
557,Stodsko,Stodsko,Stod
558,Stochovsko,Stochovsko,Stochov
559,Stonařovsko,Stonařovsko,Stonařov
560,Strančicko,Strančicko,Strančice
561,Stránsko,Stránsko,Strání
562,Strašicko,Strašicko,Strašice
563,Strážnicko,Strážnicko,Strážnice
564,Strážovsko,Strážovsko,Strážov
565,Strmilovsko,Strmilovsko,Strmilov
566,Střážecko,Střážecko,Strážek
567,Střelicko,Střelicko,Střelice
568,Stříbrsko,Stříbrsko,Stříbro
569,Studénecko,Studénecko,Studénka
570,Svatavsko,Svatavsko,Svatava
571,Svatobořicko,Svatobořicko,Svatobořice-Mistřín
572,Světelsko,Světelsko,Světlá nad Sázavou
573,Svitávecko,Svitávecko,Svitávka
574,Svitavsko,Svitavsko,Svitavy
575,Svobodsko,Svobodsko,Svoboda nad Úpou
576,Svratecko,Svratecko,Svratka
577,Šatovsko,Šatovsko,Šatov
578,Šenovsko,Šenovsko,Šenov
579,Šestajovicko,Šestajovicko,Šestajovice
580,Ševětínsko,Ševětínsko,Ševětín
581,Škvorecko,Škvorecko,Škvorec
582,Šlapanicko,Šlapanicko,Šlapanice
583,Šluknovsko,Šluknovsko,Šluknov
584,Šťáhlavsko,Šťáhlavsko,Šťáhlavy
585,Štěchovicko,Štěchovicko,Štěchovice
586,Štěkeňsko,Štěkeňsko,Štěkeň
587,Štěpánkovicko,Štěpánkovicko,Štěpánkovice
588,Štěpánovsko,Štěpánovsko,Štěpánov
589,Šternbersko,Šternbersko,Šternberk
590,Štětsko,Štětsko,Štětí
591,Štítsko,Štítsko,Štíty
592,Štocko,Štocko,Štoky
593,Štrambersko,Štrambersko,Štramberk
594,Šumpersko,Šumpersko,Šumperk
595,Švábenicko,Švábenicko,Švábenice
596,Švihovsko,Švihovsko,Švihov
597,Táborsko,Táborsko,Tábor
598,Tachovsko,Tachovsko,Tachov
599,Tanvaldsko,Tanvaldsko,Tanvald
600,Telčsko,Telčsko,Telč
601,Tepelsko,Tepelsko,Teplá
602,Teplicko,Teplicko,Teplice
603,Terezínsko,Terezínsko,Terezín
604,Tišnovsko,Tišnovsko,Tišnov
605,Tlučensko,Tlučensko,Tlučná
606,Toušeňsko,Toušeňsko,Lázně Toušeň
607,Touškovsko,Touškovsko,Město Touškov
608,Toužimsko,Toužimsko,Toužim
609,Tovačovsko,Tovačovsko,Tovačov
610,Trhosvinensko,Trhosvinensko,Trhové Sviny
611,Trhovokamenicko,Trhovokamenicko,Trhová Kamenice
612,Trhovoštěpánovsko,Trhovoštěpánovsko,Trhový Štěpánov
613,Trmicko,Trmicko,Trmice
614,Trojanovicko,Trojanovicko,Trojanovice
615,Trutnovsko,Trutnovsko,Trutnov
616,Třebechovicko,Třebechovicko,Třebechovice pod Orebem
617,Třebenicko,Třebenicko,Třebenice
618,Třebíčsko,Třebíčsko,Třebíč
619,Třeboňsko,Třeboňsko,Třeboň
620,Třemošensko,Třemošensko,Třemošná
621,Třemošnicko,Třemošnicko,Třemošnice
622,Třešťsko,Třešťsko,Třešť
623,Třinecko,Třinecko,Třinec
624,Tuchlovicko,Tuchlovicko,Tuchlovice
625,Turnovsko,Turnovsko,Turnov
626,Týnišťsko,Týnišťsko,Týniště nad Orlicí
627,Uherskobrodsko,Uherskobrodsko,Uherský Brod
628,Uherskohradišťsko,Uherskohradišťsko,Uherské Hradiště
629,Uherskoostrožsko,Uherskoostrožsko,Uherský Ostroh
630,Uhlířskojanovicko,Uhlířskojanovicko,Uhlířské Janovice
631,Unhošťsko,Unhošťsko,Unhošť
632,Uničovsko,Uničovsko,Uničov
633,Úpicko,Úpicko,Úpice
634,Úsovsko,Úsovsko,Úsov
635,Úštěcko,Úštěcko,Úštěk
636,Úvalsko,Úvalsko,Úvaly
637,Valašskomeziříčsko,Valašskomeziříčsko,Valašské Meziříčí
638,Valticko,Valticko,Valtice
639,Vambersko,Vambersko,Vamberk
640,Varnsdorfsko,Varnsdorfsko,Varnsdorf
641,Vejprtsko,Vejprtsko,Vejprty
642,Vejrpnicko,Vejrpnicko,Vejprnice
643,Velešínsko,Velešínsko,Velešín
644,Velicko,Velicko,Velká nad Veličkou
645,Velkobílovicko,Velkobílovicko,Velké Bílovice
646,Velkobítešsko,Velkobítešsko,Velká Bíteš
647,Velkobystřicko,Velkobystřicko,Velká Bystřice
648,Velkohamersko,Velkohamersko,Velké Hamry
649,Velkolosinsko,Velkolosinsko,Velké Losiny
650,Velkomeziříčsko,Velkomeziříčsko,Velké Meziříčí
651,Velkoněmčicko,Velkoněmčicko,Velké Němčice
652,Velkoopatovicko,Velkoopatovicko,Velké Opatovice
653,Velkopavlovicko,Velkopavlovicko,Velké Pavlovice
654,Velkopopovicko,Velkopopovicko,Velké Popovice
655,Velkopoříčsko,Velkopoříčsko,Velké Poříčí
656,Velkopřílepsko,Velkopřílepsko,Velké Přílepy
657,Velkošenovsko,Velkošenovsko,Velký Šenov
658,Velkotýnecko,Velkotýnecko,Velký Týnec
659,Velkoújezdsko,Velkoújezdsko,Velký Újezd
660,Veltrusko,Veltrusko,Veltrusy
661,Velvarsko,Velvarsko,Velvary
662,Vendryňsko,Vendryňsko,Vendryně
663,Verneřicko,Verneřicko,Verneřice
664,Větřínsko,Větřínsko,Větřní
665,Veverskobítýšsko,Veverskobítýšsko,Veverská Bítýška
666,Vidnavsko,Vidnavsko,Vidnava
667,Vimpersko,Vimpersko,Vimperk
668,Višňovsko,Višňovsko,Višňové
669,Vítkovsko,Vítkovsko,Vítkov
670,Vizovicko,Vizovicko,Vizovice
671,Vladislavsko,Vladislavsko,Vladislav
672,Vlachovobřezsko,Vlachovobřezsko,Vlachovo Březí
673,Vlašimsko,Vlašimsko,Vlašim
674,Vlčnovsko,Vlčnovsko,Vlčnov
675,Vnorovsko,Vnorovsko,Vnorovy
676,Vodňansko,Vodňansko,Vodňany
677,Vojnovoměstecko,Vojnovoměstecko,Vojnův Městec
678,Volarsko,Volarsko,Volary
679,Volyňsko,Volyňsko,Volyně
680,Voticko,Voticko,Votice
681,Vracovsko,Vracovsko,Vracov
682,Vransko,Vransko,Vrané nad Vltavou
683,Vratimovsko,Vratimovsko,Vratimov
684,Vrbensko,Vrbensko,Vrbno pod Pradědem
685,Vrdsko,Vrdsko,Vrdy
686,Vrchlabsko,Vrchlabsko,Vrchlabí
687,Vrchotojanovicko,Vrchotojanovicko,Vrchotovy Janovice
688,Vroutecko,Vroutecko,Vroutek
689,Všetatsko,Všetatsko,Všetaty
690,Vysocko,Vysocko,Vysoké nad Jizerou
691,Vysokochlumecko,Vysokochlumecko,Vysoký Chlumec
692,Vysokomýtsko,Vysokomýtsko,Vysoké Mýto
693,Vysokoveselsko,Vysokoveselsko,Vysoké Veselí
694,Vyšebrodsko,Vyšebrodsko,Vyšší Brod
695,Zábřežsko,Zábřežsko,Zábřeh
696,Zákupsko,Zákupsko,Zákupy
697,Zápsko,Zápsko,Zápy
698,Zásmucko,Zásmucko,Zásmuky
699,Zastávecko,Zastávecko,Zastávka
700,Zašovsko,Zašovsko,Zašová
701,Zbirožsko,Zbirožsko,Zbiroh
702,Zbůšsko,Zbůšsko,Zbůch
703,Zbýšovsko,Zbýšovsko,Zbýšov
704,Zdibsko,Zdibsko,Zdiby
705,Zdicko,Zdicko,Zdice
706,Zelenečsko,Zelenečsko,Zeleneč
707,Zlatohorsko,Zlatohorsko,Zlaté Hory
708,Zlivsko,Zlivsko,Zliv
709,Zlonicko,Zlonicko,Zlonice
710,Znojemsko,Znojemsko,Znojmo
711,Zručsko,Zručsko,Zruč nad Sázavou
712,Zručsko-Senecko,Zručsko-Senecko,Zruč-Senec
713,Zubersko,Zubersko,Zubří
714,Žacléřsko,Žacléřsko,Žacléř
715,Žambersko,Žambersko,Žamberk
716,Žandovsko,Žandovsko,Žandov
717,Žatecko,Žatecko,Žatec
718,Ždánicko,Ždánicko,Ždánice
719,Žďársko,Žďársko,Žďár nad Sázavou
720,Ždírecko,Ždírecko,Ždírec nad Doubravou
721,Žebrácko,Žebrácko,Žebrák
722,Žehušicko,Žehušicko,Žehušice
723,Želetavsko,Želetavsko,Želetava
724,Železnicko,Železnicko,Železnice
725,Železnobrodsko,Železnobrodsko,Železný Brod
726,Železnorudsko,Železnorudsko,Železná Ruda
727,Židlochovicko,Židlochovicko,Židlochovice
728,Žinkovsko,Žinkovsko,Žinkovy
729,Žirovnicko,Žirovnicko,Žirovnice
730,Žluticko,Žluticko,Žlutice
731,Žulovsko,Žulovsko,Žulová
