číslo,editace (co uvidíme při zadávání),prezentace,definice
56,Vysokomýtsko [Bachmann],Vysokomýtsko,...
57,Vyškovsko,Vyškovsko,Vyškov
58,Vyškovsko [Cigánek],Vyškovsko,...
59,Zábřežsko [Šmejkalová],Zábřežsko,"Bohuslavice SU, Dubicko SU, Hrabová SU"
60,Zlínsko,Zlínsko,Zlín
61,Ždánicko [Kolaja],Ždánicko,"Ždánice HO, Dambořice HO, Lovčice HO, Žarošice HO, Archlebov HO, Dražůvky HO"
62,Železnobrodsko [Bachmannová],Železnobrodsko,"Loužnice JN, Pěnčín JN (Bratříkov), Držkov JN, Zásada JN"
63,Abertamsko,Abertamsko,Abertamy
64,Adamovsko,Adamovsko,Adamov
65,Ašsko,Ašsko,Aš
66,Bakovsko,Bakovsko,Bakov nad Jizerou
67,Bašsko,Bašsko,Baška
68,Bašťsko,Bašťsko,Bašť
69,Batelovsko,Batelovsko,Batelov
70,Bavorovsko,Bavorovsko,Bavorov
71,Bečovsko,Bečovsko,Bečov nad Teplou
72,Bechyňsko,Bechyňsko,Bechyně
73,Bělčicko,Bělčicko,Bělčice
74,Bělohradsko,Bělohradsko,Lázně Bělohrad
75,Benátecko,Benátecko,Benátky nad Jizerou
76,Benešovsko,Benešovsko,Benešov
77,Berounsko,Berounsko,Beroun
78,Besednicko,Besednicko,Besednice
79,Bezdružicko,Bezdružicko,Bezdružice
80,Bezensko,Bezensko,Bezno
81,Bílinsko,Bílinsko,Bílina
82,Bílovecko,Bílovecko,Bílovec
83,Blatensko,Blatensko,Blatná
84,Blížkovicko,Blížkovicko,Blížkovice
85,Blovicko,Blovicko,Blovice
86,Blšansko,Blšansko,Blšany
87,Bludovsko,Bludovsko,Bludov
88,Bobrovsko,Bobrovsko,Bobrová
89,Bohdalovsko,Bohdalovsko,Bohdalov
90,Bohdanečsko,Bohdanečsko,Lázně Bohdaneč
91,Bohumínsko,Bohumínsko,Bohumín
92,Bohuňovicko,Bohuňovicko,Bohuňovice
93,Bohušovicko,Bohušovicko,Bohušovice nad Ohří
94,Bochovsko,Bochovsko,Bochov
95,Bojkovicko,Bojkovicko,Bojkovice
96,Bolaticko,Bolaticko,Bolatice
97,Boleradicko,Boleradicko,Boleradice
98,Borohrádecko,Borohrádecko,Borohrádek
99,Borovansko,Borovansko,Borovany
100,Borsko,Borsko,Bor
101,Boskovicko,Boskovicko,Boskovice
102,Brandýsko,Brandýsko,Brandýs nad Labem-Stará Boleslav
103,Brankovicko,Brankovicko,Brankovice
104,Brněnsko,Brněnsko,Brno
105,Broumovsko,Broumovsko,Broumov
106,Brozansko,Brozansko,Brozany nad Ohří
107,Brtnicko,Brtnicko,Brtnice
108,Brumovsko,Brumovsko,Brumov-Bylnice
109,Bruntálsko,Bruntálsko,Bruntál
110,Brušpersko,Brušpersko,Brušperk
111,Břeclavsko,Břeclavsko,Břeclav
112,Bučovicko,Bučovicko,Bučovice
113,Budyňsko,Budyňsko,Budyně nad Ohří
114,Buchlovicko,Buchlovicko,Buchlovice
115,Buštěhradsko,Buštěhradsko,Buštěhrad
116,Bystersko,Bystersko,Bystré
117,Bzenecko,Bzenecko,Bzenec
118,Cerhenicko,Cerhenicko,Cerhenice
119,Cerhovicko,Cerhovicko,Cerhovice
120,Cítolibsko,Cítolibsko,Cítoliby
121,Cvikovsko,Cvikovsko,Cvikov
122,Čáslavsko,Čáslavsko,Čáslav
123,Častolovicko,Častolovicko,Častolovice
124,Čechticko,Čechticko,Čechtice
125,Čeladensko,Čeladensko,Čeladná
126,Čelákovicko,Čelákovicko,Čelákovice
127,Čerčansko,Čerčansko,Čerčany
128,Černohorsko,Černohorsko,Černá Hora
129,Černokostelecko,Černokostelecko,Kostelec nad Černými lesy
130,Černošicko,Černošicko,Černošice
131,Černošínsko,Černošínsko,Černošín
132,Černovicko,Černovicko,Černovice
133,Červenokostelecko,Červenokostelecko,Červený Kostelec
134,Červenopečecko,Červenopečecko,Červené Pečky
135,Červenořečicko,Červenořečicko,Červená Řečice
136,Červenovodsko,Červenovodsko,Červená Voda
137,Českobělsko,Českobělsko,Česká Bělá
138,Českobrodsko,Českobrodsko,Český Brod
139,Českodubsko,Českodubsko,Český Dub
140,Českokamenicko,Českokamenicko,Česká Kamenice
141,Českokrumlovsko,Českokrumlovsko,Český Krumlov
142,Českolipsko,Českolipsko,Česká Lípa
143,Českoskalicko,Českoskalicko,Česká Skalice
144,Českovelenicko,Českovelenicko,České Velenice
145,Dašicko,Dašicko,Dašice
146,Davelsko,Davelsko,Davle
147,Deblínsko,Deblínsko,Deblín
148,Děčínsko,Děčínsko,Děčín
149,Desensko,Desensko,Desná
150,Deštensko,Deštensko,Deštná
151,Dětmarovicko,Dětmarovicko,Dětmarovice
152,Divišovsko,Divišovsko,Divišov
153,Dobersko,Dobersko,Dobrá
154,Dobrovicko,Dobrovicko,Dobrovice
155,Dobrušsko,Dobrušsko,Dobruška
156,Dobřansko,Dobřansko,Dobřany
157,Dobřichovicko,Dobřichovicko,Dobřichovice
158,Dobříšsko,Dobříšsko,Dobříš
159,Dokesko,Dokesko,Doksy
160,Dolnobenešovsko,Dolnobenešovsko,Dolní Benešov
